Case #,Date,Time,Involved,Name/Description,Gender,Height,Weight (lbs),Hair Colour,Emergency Services Required,Call initiated to: Police (911),Call initiated to: Ambulance  (911),Call initiated to: Fire (911),Attended By: Police,Attended By: Ambulance,Attended By:Fire,Vehicle ID,Incident Teyp(S):  Medical,Incident Teyp(S):  Injury,Incident Teyp(S):  Drug/Alcohol,Incident Teyp(S): Violence,Incident Teyp(S): Staff Abuse,Incident Teyp(S):  Refuse to leave,Incident Teyp(S): Property Damage,Incident Teyp(S): Other (Type),First Aid required,Overdose,Naloxone,Event Location: Drop In,Event Location: Lobby,Event Location: Courtyard,Event Location: Kitchen,Event Location: Dinning Area,Event Location: Chapel,Event Location: Hygiene,Event Location: Games room,Event Location: Shipping&Reveiving Area ,Event Location: Common Housing Area,Event Location: In Room,Event Location: Perimeter,Event Location:Snack Bar,Other: (Enter)
1,Jan-01-2018,12:20:00,A1,R64,1,6'3,240,longer dark brown,0,,,,,,,,1,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,Jan-10-2018,20:20:00,A1,R32,1,5’8,230,Brown,,,1,,,1,1,"63406, E1-43",0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
3,Jan-11-2018,08:20:00,,R72,1,5’10,165,Black,,1,,,1,,,V155L6,0,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
4,Jan-11-2018,09:48:00,A1,R67,1,,,,,1,,,1,,,V15593,0,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
5,Jan-11-2018,09:50:00,A2,R83,1,,,Dark brown,,1,,,,,,V15593,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
6,Jan-11-2018,10:45:00,A1,R-1,1,,,,1,1,,,1,,,V15569,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Jan-11-2018,13:50:00,A1,R98,1,,,,0,,,,,,,,0,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pod
8,Jan-11-2018,15:10:00,A1,R99,1,,,,0,,,,,,,,0,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pod
9,Jan-11-2018,15:30:00,A1,R75,1,5’8,,Brown,0,1,,,,,,,0,0,0,0,0,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Pod
10,Jan-11-2018,16:35:00,A1,R8,,,,,1,1,,,1,,,VI5593,0,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
11,Jan-11-2018,19:30:00,A1,R1,1,6’2,160,blonde,1,1,,,1,,,Foot patrol,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
12,Jan-12-2018,07:30:00,A1,R72,1,,,,,1,,,,,,V15570,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
13,Jan-12-2018,07:30:00,A1,,0,,,,,1,,,1,,,V15570,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Computer room
25,Jan-04-2018,10:05:00,A1,R19,0,5'8,,,1,0,0,0,,,,U.C. Sue,,,,,,,,banned,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Jan-04-2018,11:30:00,A1,R47,0,5'10,180,dark,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0
27,Jan-05-2018,00:30:00,A1,R27,0,5'2,,brown,0,,,,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POD
28,Jan-05-2018,13:00:00,A1,R5,0,,,,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,Jan-05-2018,03:55:00,A1,R5,0,,,,1,1,0,0,1,0,0,V15571,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Jan-05-2018,16:25:00,A1,R37,0,,,,1,0,1,0,0,1,0,L3227,1,0,0,0,0,0,0,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,,NA,A1,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Jan-05-2018,NA,A1,R75,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33,Jan-05-2018,18:30:00,A1,R44,0,6'3,170,brown/grey,,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,Jan-05-2018,20:35:00,A1,R79,0,5'10,180,brown,,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,conservatory
35,Jan-06-2018,00:50:00,A1,R86,0,5'6,150,grey/brown,,1,0,0,1,0,0,"K-9, 15593, unknown",0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Jan-06-2018,06:05:00,A1,R86,0,,,,1,0,0,0,,,,V15597,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,Jan-07-2018,12:17:00,A1,R14,0,6'0,160,dark caucasian ,,1,,,1,,,5596,0,0,0,0,0,1,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,washroom
39,Jan-07-2018,13:30:00,A1,R48,0,5'10,,dark grey,1,,1,,,1,1,"62913, 62932, E1",1,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
184,Jan-30-2018,21:30:00,A1,R56,0,,,black,1,,1,,,1,1,"E1-43, 63227, 63039",1,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
185,Jan-31-2018,16:30:00,A1,R15,0,5'6,200,dirty blonde,0,,,,,,,,0,0,0,0,1,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,computer room
186,Jan-31-2018,16:50:00,A1,R84,0,6'0,150,,,1,,,1,,,VI5565,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,
187,Jan-31-2018,17:05:00,A1,R73,0,,,,1,,1,,,1,,63021,1,0,0,0,0,0,0,,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,
188,Jan-31-2018,17:15:00,A1,R70,0,6'2,175,brown,0,,,,,,,,0,0,0,0,0,0,1,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,computer room
116,Jan-20-2018,NA,"A1, A4",R66,"0, 0","6'0, 5'6","200, 180","Black, Brown",0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
117,Jan-20-2018,14:40:00,A1,R12,0,5'6,120,White,1,0,1,0,0,1,1,"62916, 63470, E1",1,0,0,0,0,0,0,,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,
118,Jan-20-2018,14:30:00,"A1, A2",R18,0,5'6,180,Light Coloured,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
119,Jan-20-2018,23:30:00,A1,R109,0,,,,1,Non-emerg,0,0,0,0,0,,0,0,0,1,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,
120,Jan-21-2018,08:15:00,A5,R110,,,,,1,1,0,0,1,0,0,VI5595,0,0,0,0,0,0,0,(blank),0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,
121,Jan-21-2018,13:41:00,A1,R111,0,Average,Average,Blond,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,
